Outlet ID,Brand Name,Sales Value,DATE
Outlet 1,Brand 1,395.69,10-Apr-18
Outlet 1,Brand 1,395.69,24-Apr-18
Outlet 1,Brand 2,724.93,10-Apr-18
Outlet 1,Brand 3,150.05,10-Apr-18
Outlet 1,Brand 3,300.09,24-Apr-18
Outlet 1,Brand 4,173.08,24-Apr-18
Outlet 2,Brand 1,791.38,17-Apr-18
Outlet 2,Brand 2,362.47,17-Apr-18
Outlet 2,Brand 2,538.27,17-Apr-18
Outlet 2,Brand 2,585.81,17-Apr-18
Outlet 3,Brand 5,350.2408,17-Apr-18
Outlet 3,Brand 1,395.6906,17-Apr-18
Outlet 3,Brand 2,276.0948,24-Apr-18
Outlet 3,Brand 3,150.0466,24-Apr-18
Outlet 3,Brand 3,450.1398,17-Apr-18
Outlet 3,Brand 4,220.9098,24-Apr-18
Outlet 4,Brand 1,395.6906,10-Apr-18
Outlet 4,Brand 2,358.844,10-Apr-18
Outlet 4,Brand 4,220.9098,10-Apr-18
Outlet 5,Brand 5,350.2408,24-Apr-18
Outlet 5,Brand 1,233.8146,10-Apr-18
Outlet 5,Brand 2,276.0948,24-Apr-18
Outlet 5,Brand 3,150.0466,10-Apr-18
Outlet 5,Brand 3,150.0466,24-Apr-18
Outlet 5,Brand 4,220.9098,10-Apr-18
Outlet 6,Brand 1,467.6292,10-Apr-18
Outlet 6,Brand 1,611.5064,10-Apr-18
Outlet 6,Brand 1,1223.0128,10-Apr-18
Outlet 7,Brand 1,395.6906,10-Apr-18
Outlet 7,Brand 3,150.0466,10-Apr-18
Outlet 7,Brand 4,220.9098,10-Apr-18
Outlet 8,Brand 1,233.8146,10-Apr-18
Outlet 8,Brand 1,233.8146,24-Apr-18
Outlet 8,Brand 2,184.0632,10-Apr-18
Outlet 8,Brand 2,276.0948,24-Apr-18
Outlet 8,Brand 3,150.0466,10-Apr-18
Outlet 8,Brand 4,173.0828,24-Apr-18
Outlet 9,Brand 1,233.8146,10-Apr-18
Outlet 9,Brand 1,233.8146,24-Apr-18
Outlet 9,Brand 2,292.905,10-Apr-18
Outlet 9,Brand 2,368.1264,24-Apr-18
Outlet 9,Brand 3,150.0466,24-Apr-18
Outlet 9,Brand 4,220.9098,10-Apr-18
Outlet 10,Brand 1,233.8146,3-Apr-18
Outlet 10,Brand 1,611.5064,3-Apr-18
Outlet 10,Brand 1,791.3812,3-Apr-18
Outlet 10,Brand 3,150.0466,3-Apr-18
Outlet 11,Brand 5,350.2408,17-Apr-18
Outlet 11,Brand 2,538.266,17-Apr-18
Outlet 11,Brand 3,300.0932,17-Apr-18
Outlet 12,Brand 1,395.6906,3-Apr-18
Outlet 12,Brand 1,467.6292,17-Apr-18
Outlet 12,Brand 1,611.5064,17-Apr-18
Outlet 12,Brand 2,292.905,3-Apr-18
Outlet 12,Brand 2,358.844,3-Apr-18
Outlet 12,Brand 2,585.81,17-Apr-18
Outlet 13,Brand 1,467.6292,3-Apr-18
Outlet 13,Brand 2,292.905,3-Apr-18
Outlet 13,Brand 4,173.0828,3-Apr-18
Outlet 14,Brand 1,467.6292,3-Apr-18
Outlet 14,Brand 1,611.5064,3-Apr-18
Outlet 14,Brand 1,1223.0128,3-Apr-18
Outlet 15,Brand 5,350.2408,3-Apr-18
Outlet 15,Brand 1,395.6906,3-Apr-18
Outlet 15,Brand 2,276.0948,3-Apr-18
Outlet 16,Brand 1,395.6906,3-Apr-18
Outlet 16,Brand 2,276.0948,3-Apr-18
Outlet 16,Brand 3,300.0932,3-Apr-18
Outlet 17,Brand 5,350.2408,3-Apr-18
Outlet 17,Brand 1,395.6906,3-Apr-18
Outlet 17,Brand 3,300.0932,3-Apr-18
Outlet 18,Brand 5,350.2408,17-Apr-18
Outlet 18,Brand 1,395.6906,17-Apr-18
Outlet 18,Brand 2,368.1264,17-Apr-18
Outlet 19,Brand 7,814.7004,3-Apr-18
Outlet 19,Brand 5,700.4816,3-Apr-18
Outlet 19,Brand 5,1528.2,3-Apr-18
Outlet 19,Brand 5,2292.3,17-Apr-18
Outlet 19,Brand 8,2689.632,3-Apr-18
Outlet 19,Brand 8,2689.632,17-Apr-18
Outlet 19,Brand 1,467.6292,3-Apr-18
Outlet 19,Brand 1,791.3812,3-Apr-18
Outlet 19,Brand 1,1834.5192,17-Apr-18
Outlet 20,Brand 6,276.6608,17-Apr-18
Outlet 20,Brand 7,438.65,17-Apr-18
Outlet 20,Brand 7,814.7004,17-Apr-18
Outlet 20,Brand 5,350.2408,17-Apr-18
Outlet 21,Brand 7,362.0136,24-Apr-18
Outlet 21,Brand 9,179.3088,24-Apr-18
Outlet 21,Brand 9,631.9956,24-Apr-18
Outlet 22,Brand 2,179.422,10-Apr-18
Outlet 22,Brand 4,173.0828,10-Apr-18
Outlet 22,Brand 9,179.3088,10-Apr-18
Outlet 22,Brand 9,462.0824,10-Apr-18
Outlet 23,Brand 7,227.4188,3-Apr-18
Outlet 23,Brand 5,350.2408,3-Apr-18
Outlet 23,Brand 8,448.272,3-Apr-18
Outlet 23,Brand 1,233.8146,3-Apr-18
Outlet 23,Brand 10,4340.088,24-Apr-18
Outlet 23,Brand 9,924.1648,24-Apr-18
Outlet 23,Brand 9,2106.652,24-Apr-18
Outlet 24,Brand 7,724.0272,10-Apr-18
Outlet 24,Brand 3,300.0932,10-Apr-18
Outlet 24,Brand 10,1446.696,10-Apr-18
Outlet 24,Brand 9,1263.9912,10-Apr-18
Outlet 25,Brand 7,362.0136,3-Apr-18
Outlet 25,Brand 7,407.3502,3-Apr-18
Outlet 25,Brand 5,700.4816,3-Apr-18
Outlet 25,Brand 8,448.272,3-Apr-18
Outlet 25,Brand 1,1223.0128,3-Apr-18
Outlet 25,Brand 4,173.0828,10-Apr-18
Outlet 25,Brand 9,341.9206,10-Apr-18
Outlet 25,Brand 9,421.3304,10-Apr-18
Outlet 25,Brand 9,462.0824,10-Apr-18
Outlet 26,Brand 10,1446.696,10-Apr-18
Outlet 26,Brand 4,220.9098,10-Apr-18
Outlet 26,Brand 9,341.9206,10-Apr-18
Outlet 26,Brand 9,1685.3216,10-Apr-18
Outlet 27,Brand 7,227.4188,10-Apr-18
Outlet 27,Brand 4,220.9098,10-Apr-18
Outlet 27,Brand 9,231.0412,10-Apr-18
Outlet 27,Brand 9,421.3304,10-Apr-18
Outlet 28,Brand 7,724.0272,24-Apr-18
Outlet 28,Brand 10,1446.696,24-Apr-18
Outlet 28,Brand 9,1685.3216,24-Apr-18
Outlet 29,Brand 5,764.1,17-Apr-18
Outlet 29,Brand 8,2689.632,17-Apr-18
Outlet 29,Brand 1,233.8146,17-Apr-18
Outlet 30,Brand 6,366.202,17-Apr-18
Outlet 30,Brand 5,764.1,17-Apr-18
Outlet 30,Brand 8,2689.632,17-Apr-18
Outlet 31,Brand 7,362.0136,24-Apr-18
Outlet 31,Brand 3,150.0466,24-Apr-18
Outlet 31,Brand 9,631.9956,24-Apr-18
Outlet 32,Brand 6,1383.304,17-Apr-18
Outlet 32,Brand 7,1086.0408,17-Apr-18
Outlet 32,Brand 5,2292.3,17-Apr-18
Outlet 32,Brand 8,2689.632,17-Apr-18
Outlet 33,Brand 7,814.7004,24-Apr-18
Outlet 33,Brand 3,300.0932,24-Apr-18
Outlet 33,Brand 9,421.3304,24-Apr-18
Outlet 34,Brand 6,679.2,17-Apr-18
Outlet 34,Brand 6,1106.6432,17-Apr-18
Outlet 34,Brand 7,1086.0408,17-Apr-18
Outlet 34,Brand 5,2292.3,17-Apr-18
Outlet 34,Brand 8,1793.088,17-Apr-18
Outlet 34,Brand 1,467.6292,17-Apr-18
Outlet 35,Brand 10,289.3392,10-Apr-18
Outlet 35,Brand 9,210.6652,10-Apr-18
Outlet 35,Brand 9,231.0412,10-Apr-18
Outlet 36,Brand 10,1446.696,24-Apr-18
Outlet 36,Brand 10,2893.392,10-Apr-18
Outlet 36,Brand 4,220.9098,24-Apr-18
Outlet 36,Brand 4,441.8196,10-Apr-18
Outlet 36,Brand 9,341.9206,10-Apr-18
Outlet 36,Brand 9,462.0824,24-Apr-18
Outlet 36,Brand 9,924.1648,10-Apr-18
Outlet 36,Brand 9,1685.3216,24-Apr-18
Outlet 36,Brand 9,2527.9824,10-Apr-18
Outlet 37,Brand 6,829.9824,3-Apr-18
